tanggal;pm10;pm25;so2;co;o3;no2
2024-01-26;39.0;59.0;48.0;9.0;17.0;26.0
2024-01-27;21.0;18.0;45.0;;17.0;22.0
2024-01-28;35.0;53.0;45.0;13.0;17.0;30.0
2024-01-29;30.0;;44.0;8.0;17.0;28.0
2024-01-30;39.0;67.0;46.0;31.0;14.0;28.0
2024-01-31;25.0;49.0;47.0;19.0;24.0;30.0
2024-03-30;56.0;75.0;16.0;21.0;29.0;44.0
2024-03-31;53.0;79.0;12.0;23.0;32.0;41.0
2024-03-01;45.0;62.0;14.0;30.0;23.0;37.0
2024-03-02;43.0;64.0;17.0;22.0;15.0;37.0
2024-03-03;33.0;51.0;17.0;20.0;22.0;27.0
2024-03-04;34.0;54.0;14.0;19.0;20.0;25.0
2024-03-05;24.0;43.0;13.0;19.0;20.0;22.0
2024-03-06;25.0;38.0;15.0;17.0;17.0;21.0
2024-03-07;23.0;35.0;14.0;17.0;20.0;21.0
2024-03-08;19.0;34.0;13.0;15.0;22.0;15.0
2024-03-09;29.0;30.0;17.0;17.0;19.0;21.0
2024-03-10;53.0;72.0;17.0;27.0;20.0;35.0
2024-03-11;35.0;47.0;12.0;17.0;14.0;21.0
2024-03-12;31.0;50.0;11.0;13.0;21.0;19.0
2024-03-13;42.0;60.0;14.0;15.0;19.0;25.0
2024-03-14;36.0;52.0;12.0;17.0;17.0;29.0
2024-03-15;32.0;44.0;15.0;16.0;22.0;22.0
2024-03-16;23.0;27.0;13.0;13.0;23.0;20.0
2024-03-17;24.0;37.0;14.0;12.0;21.0;16.0
2024-03-18;22.0;35.0;16.0;11.0;20.0;17.0
2024-03-19;29.0;47.0;14.0;13.0;18.0;18.0
2024-03-20;27.0;47.0;13.0;17.0;10.0;16.0
2024-03-21;28.0;51.0;18.0;16.0;11.0;18.0
2024-03-22;24.0;28.0;10.0;17.0;17.0;26.0
